Country of president,President name,Destination country,Destination city,"Date start, yyyy-mm-dd","Date start, d.m.yyyyy","Date end, yyyy-mm-dd","Date end, d.m.yyyy",Subject,Source,More info
China,Hu Jintao,Mongolia,Ulan Bator,2003-06-04,4.6.2003,2003-06-05,5.6.2003,"Hu Jintao met with Mongolian Prime Minister Nambaryn Enkhbayar., Hu Jintao met with Mongolian parliament leader Sanjibeghz Tumurochir., Hu Jintao held talks with Mongolian President Nachagyn Bagabandy., Hu Jintao met with Sanjibeghz Tumurochir, Chairman of the Mongolian State Great Hural (parliament)., Hu Jintao met with Mongolian Prime Minister Nambaryn Enkhbayar.",,http://www.chinavitae.com//vip/index.php?mode=show&id=250
China,Hu Jintao,Thailand,Bangkok,2003-10-17,17.10.2003,2003-10-20,20.10.2003,"Hu Jintao met with Uthai Pimchaichon, President of the Thai National Assembly. , Hu Jintao and his wife Liu Yongqing met with Thai King Bhumibol Adulyadej and Queen Sirikit., Hu Jintao arrived in the Thai capital of Bangkok for a state visit., Hu Jintao exchanged views with US President George W. Bush on bilateral relations as well as regional and international issues of common concern., Hu Jintao made a proposal on improving the Asia-Pacific Economic Cooperation (APEC) process at the first-day session of the 11th APEC Economic Leaders' Meeting. 

",,http://www.chinavitae.com//vip/index.php?mode=show&id=1075
China,Hu Jintao,Australia,Canberra,2003-10-22,22.10.2003,2003-10-24,24.10.2003,"Hu Jintao paid a courtesy call on Australian Governor-General Michael Jeffery., Hu Jintao met with Australian New South Wales Governor Marie Bashir and Premier Robert Carr., Hu Jintao met with Australian business leaders., Hu Jintao held talks with Australian Prime Minister John Winston Howard., Hu Jintao addressed the Federal Parliament of Australia.",,http://www.chinavitae.com//vip/index.php?mode=show&id=1091
China,Hu Jintao,New Zealand,Auckland,2003-10-25,25.10.2003,2003-10-27,27.10.2003,"Hu Jintao met with New Zealand Governor-General 
Dame Silvia Cartwright.


, Hu Jintao held talks with New Zealand Prime Minister Helen Elizabeth Clark., Hu Jintao met with National Party leader Bill English., Hu Jintao met with Asia Foundation President Sir Dryden Spring, Carter Holt, Harvey CEO, Peter Springford,  Fonterra CEO, Andrew Ferrier and other New Zealand business leaders.",,http://www.chinavitae.com//vip/index.php?mode=show&id=1105
China,Hu Jintao,France,Paris,2004-01-26,26.1.2004,2004-01-28,28.1.2004,"Hu Jintao and French President Jacques Chirac held a meeting to discuss bilateral relations and major international issues of common concern., Hu Jintao was welcomed by French President Jacques Chirac at Orly Airport., Hu Jintao addressed the French parliament., Hu Jintao and  French President Jacques Chirac signed a joint declaration after their talks, pledging to deepen the comprehensive strategic partnership between the two countries. 

    
, Hu Jintao met with French Prime Minster Jean-Pierre Raffarin., Hu Jintao met with UN Secretary-General Kofi Annan., Hu Jintao had a discussion with French business leaders, which was attended by Francois Loos, France's minister delegate in charge of foreign trade in the Ministry of the Economy, Finances and Industry., Hu Jintao met with French Senate President Christian Poncelet., Hu Jintao visited the city hall of Paris and made a speech on Sino-French friendship there.",,http://www.chinavitae.com//vip/index.php?mode=show&id=1484
China,Hu Jintao,Egypt,Cairo,2004-01-29,29.1.2004,2004-01-30,30.1.2004,"Hu Jintao held talks with Egyptian President Muhammed Hosni Mubarak., Hu Jintao met with Ahmed Fathi Sorour, speaker of the Egyptian People's Assembly and Mustapha Kamal Helmi, speaker of the Egyptian Advisory Council., Hu Jintao paid a visit to the Arab League's General Secretariat and met with Amr Mahmoud Moussa, the league's secretary-general and Arab representatives at the Arab League headquarters. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=1496
China,Hu Jintao,Gabon,Libreville,2004-02-01,1.2.2004,2004-02-02,2.2.2004,"Hu Jintao was welcomed by Gabonese President El Hadj Omar Bongo Ondimba with a welcoming ceremony at the airport. 
, Hu Jintao addressed the National Assembly of Gabon., Hu Jintao held talks with Gabon's president, El Hadj Omar Bongo Ondimba.",,http://www.chinavitae.com//vip/index.php?mode=show&id=1501
China,Hu Jintao,Algeria,Algiers,2004-02-03,3.2.2004,2004-02-04,4.2.2004,"Hu Jintao attended a banquet hosted by Algerian President Abdelaziz Bouteflika., Hu Jintao held talks with Algerian President Abdelaziz Bouteflika., Hu Jintao met with Algerian Prime Minister Ahmed Ouyahia., Hu Jintao met with Speaker of the Algerian National Assembly Karim Younes., Hu Jintao met with Abdelkader Bensalah, president of the Algerian Council of the Nation.",,http://www.chinavitae.com//vip/index.php?mode=show&id=1510
China,Hu Jintao,Poland,Warsaw,2004-06-08,8.6.2004,2004-06-09,9.6.2004,"Hu Jintao and Polish President Aleksander Kwasniewski attended the signing ceremony of Sino-Polish Joint Communique., Hu Jintao met with Polish Senate Speaker Longin Hieronim Pastusiak., Hu Jintao met with Jozef Oleksy, speaker of the House of Representatives of Poland. , Hu Jintao met with Polish Prime Minister Marek Belka.",,http://www.chinavitae.com//vip/index.php?mode=show&id=2115
China,Hu Jintao,Hungary,Budapest,2004-06-10,10.6.2004,2004-06-11,11.6.2004,"Hu Jintao held talks with Hungarian President Madl Ferenc., Hu Jintao met with Hungarian Prime Minister Medgyessy Peter. 
, Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ",,http://www.chinavitae.com//vip/index.php?mode=show&id=2123
China,Hu Jintao,Romania,Bucharest,2004-06-13,13.6.2004,2004-06-14,14.6.2004,"Hu Jintao held talks with Romanian President Ion Iliescu., Hu Jintao met with Romanian Prime Minister Adrian Nastase., Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=2136
China,Hu Jintao,Uzbekistan,Tashkent,2004-06-15,15.6.2004,2004-06-17,17.6.2004,"Hu Jintao and Uzbek President Islam Abduganiyevich Karimov signed a joint statement on further developing a partnership of friendly cooperation., Hu Jintao met with Afghan President Hamid Karzai., Hu Jintao held talks with Kazakh President Nursultan Abishevich Nazarbayev., Hu Jintao held talks with Tajik President Emomali Rakhmonov., Hu Jintao held talks with Kyrgyz President Askar Akayev., Hu Jintao made a speech at the annual summit meeting of the Shanghai Cooperation Organization (SCO)., Hu Jintao and the five leaders formally launched the Regional Anti-terrorist Structure of the Shanghai Cooperation Organization (SCO). 
, Hu Jintao met with Russian President Vladimir Putin.",,http://www.chinavitae.com//vip/index.php?mode=show&id=2167
China,Hu Jintao,Portugal,Porto,2004-11-10,10.11.2004,2004-11-10,10.11.2004,"Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ",,http://www.chinavitae.com//vip/index.php?mode=show&id=2865
China,Hu Jintao,Brazil,Sao Paulo,2004-11-12,12.11.2004,2004-11-15,15.11.2004,"Hu Jintao addressed the National Congress of Brazil, before his speech, Hu met separately with leaders of both houses of parliament. 
, Hu Jintao held talks with Brazilian President Luiz Inacio Lula da Silva., Hu Jintao met with Rosinha Garotinho, Governor of the state of Rio de Janeiro. , Hu Jintao visited the space research institute of Brazil.",,http://www.chinavitae.com//vip/index.php?mode=show&id=2885
China,Hu Jintao,Argentina,Buenos Aires,2004-11-16,16.11.2004,2004-11-16,16.11.2004,"Hu Jintao held talks with Argentine President Nestor Kirchner. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=2895
China,Hu Jintao,Chile,Santiago,2004-11-18,18.11.2004,2004-11-21,21.11.2004,"Hu Jintao held talks with Chilean President Ricardo Lagos Escobar., Hu Jintao met with South Korean President  Roh Moo-hyun. 
, Hu Jintao met with Singporean Prime Minister Lee Hsien Loong., Hu Jintao met with New Zealand's Prime Minister Helen Elizabeth Clark on the eve of the 12th APEC Economic Leaders Meeting., Hu Jintao met with Vietnamese President Tran Duc Luong on the eve of the 12th APEC Economic Leaders' Meeting., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Peruvian President Alejandro Toledo Manrique., Hu Jintao met with Canadian Prime Minister Paul Martin., Hu Jintao met with Indonesian president Susilo Bambang., Hu Jintao met with  US President George W. Bush on the sidelines of the 12th APEC Economic Leaders Meeting., Hu Jintao met with Australian Prime Minister John Winston Howard., Hu Jintao made a speech at the 12th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation(APEC).",,http://www.chinavitae.com//vip/index.php?mode=show&id=2923
China,Hu Jintao,Egypt,Cairo,2004-11-21,21.11.2004,2004-11-21,21.11.2004,"Hu Jintao met with Japanese Prime Minister Junichiro Koizumi., Hu Jintao met with Mexican President Vicente Fox.",,http://www.chinavitae.com//vip/index.php?mode=show&id=2928
China,Hu Jintao,Cuba,Havana,2004-11-22,22.11.2004,2004-11-22,22.11.2004,"Hu Jintao met with Fidel Castro, president of the Cuban Council of State.",,http://www.chinavitae.com//vip/index.php?mode=show&id=2935
China,Hu Jintao,Spain,Gran Canaria,2004-11-24,24.11.2004,2004-11-24,24.11.2004,Hu Jintao met with Spanish Crown Prince Felipe de Borbon y Grecia.,,http://www.chinavitae.com//vip/index.php?mode=show&id=2938
China,Hu Jintao,Brunei,Bandar Seri Begawan,2005-04-20,20.4.2005,2005-04-20,20.4.2005,Hu Jintao held talks with  Bruneian Sultan Haji Hassanal Bolkiah.,,http://www.chinavitae.com//vip/index.php?mode=show&id=3482
China,Hu Jintao,Indonesia,Jakarta,2005-04-22,22.4.2005,2005-04-25,25.4.2005,"Hu Jintao met with Than Shwe, chairman of the State Peace and Development Council of Myanmar., Hu Jintao met with Nepali King Gyanendra., Hu Jintao met with Thai Prime Minister Thaksin Shinawatra., Hu Jintao met with Pakistani President Pervez Musharraf., He Jintao delivered a speech at the Asian-African Summit., Hu Jintao met with Tajikistan President Emomali Rakhmonov., Hu Jintao met with Indian Prime Minister Manmohan Singh., Hu Jintao met with UN Secretary-General Kofi Annan., Hu Jintao met with Japanese Prime Minister Junichiro Koizumi., Hu Jintao met with Ghanaian President John Agyekum Kufuor., Hu Jintao met with Sudanese President Omar el-Bashir., Hu Jintao attended the celebrating activities for commemorating the golden jubilee of the Bandung Conference., Hu Jintao held talks with Indonesian President Susilo Bambang Yudhoyono.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3505
China,Hu Jintao,Philippines,Manila,2005-04-27,27.4.2005,2005-04-27,27.4.2005,"Hu Jintao met with Haruhiko Kuroda,  President of the Asian Development Bank (ADB). , Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3508
China,Hu Jintao,Russia,Moscow,2005-05-08,8.5.2005,2005-05-09,9.5.2005,"Hu Jintao met with South Korean President Roh Moo-hyun., Hu Jintao met with Turkmen President Saparmurad Niyazov., Hu Jintao made remarks during a meeting with Russian veterans who helped China force out the Japanese during World War II., Hu Jintao met with Romanian President Traian Bbasescu., Hu Jintao met with French President Jacques Chirac., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao attended a celebration ceremony marking the 60th anniversary of the victory of Russia's Great Patriotic War.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3545
China,Hu Jintao,Russia,Novosibirsk,2005-06-30,30.6.2005,2005-07-03,3.7.2005,"Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Sergei Mironov, chairman of the Federation Council of Russia., Hu Jintao and Russian President Vladimir Putin signed a joint statement on a new world order in the 21st century after their talks., Hu Jintao held talks with Russian Prime Minister Mikhail Fradkov., Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3818
China,Hu Jintao,Kazakhstan,Astana,2005-07-03,3.7.2005,2005-07-06,6.7.2005,"Hu Jintao held talks with Kazakh President Nursultan Nazarbayev., Hu Jintao met with Indian Foreign Minister Natwar Singh., Hu Jintao met with Kazak Speaker of Lower House Mukhamedzhnov., Hu Jintao met with Kazak Senate chairmanan N. Abykaev., Hu Jintao met with Kazak Prime Minister Danial Akhmetov., Hu Jintao met with Iranian First Vice President Mohammad Reza Aref., Hu Jintao met with acting Kyrgyz President Kurmanbek Bakiyev., Hu Jintao met with Uzbek President Islam Abduganiyevich Karimov., Hu Jintao addressed the summit of the Shanghai Cooperation Organization (SCO)., Hu Jintao met with Tajik President Emomali Sharipovich Rakhmonov., Hu Jintao met with Pakistani Prime Minister Shaukat Aziz.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3836
China,Hu Jintao,United Kingdom,Gleneagles,2005-07-07,7.7.2005,2005-07-07,7.7.2005,"Hu Jintao attended a dialogue meeting between the Group of Eight (G8) leaders and leaders from China, India, Brazil, South Africa and Mexico. 
, Hu Jintao met with US President George W. Bush., Hu Jintao met with German Chancellor Gerhard Schroeder at the G8 Summit., Hu Jintao met with French President Jacques Chirac at the G8 Summit., Hu Jintao and Brazilian President Luiz Inacio Lula da Silva, Indian Prime Minister Manmohan Singh, South Africa's president Thabo Mbeki and Mexican President Vicente Fox discussed issues of mutual concern at a meeting held before they met with leaders of the Group of Eight (G8). 
, Hu Jintao met with British Prime Minister Tony Blair, prior to the informal meeting between Group of Eight (G8) leaders and the leaders of China, Brazil, India, Mexico and South Africa.",,http://www.chinavitae.com//vip/index.php?mode=show&id=3841
China,Hu Jintao,Canada,Toronto,2005-09-08,8.9.2005,2005-09-10,10.9.2005,"Hu Jintao made remarks at the welcoming ceremony held by Canadian Governor General Adrienne Clarkson at Ridea Hall., Hu Jintao met with some members of the Senate and the House of Commons of Canada. 
, Hu Jintao held talks with Canadian Prime Minister Paul Martin on building a strategic partnership., Hu Jintao met with former Canadian Prime Minister Jean Chretien., Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=4070
China,Hu Jintao,Mexico,Mexico City,2005-09-12,12.9.2005,2005-09-12,12.9.2005,"Hu Jintao held talks with Mexican President Vicente Fox.
",,http://www.chinavitae.com//vip/index.php?mode=show&id=4079
China,Hu Jintao,United States of America,New York,2005-09-13,13.9.2005,2005-09-15,15.9.2005,"Hu Jintao met with Philippine President Gloria Macapagal Arroyo., Hu Jintao met with US President George W Bush to discuss development of the China-US relations and exchange views on major world and regional issues. 
, Hu Jintao met with Indian Prime Minister Manmohan Singh., Hu Jintao met with Mozambican President Armando Emilio Guebuza., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Zambian President Levy Mwanawasa. 
, Hu Jintao delivered a speech at the High-Level Meeting on Financing for Development at the United Nations Summit., Hu Jintao met with Macedonian President Branko Crvenkovski., Hu Jintao met with Gabonese President  El Hadj Omar Bongo Ondimba., Hu Jintao met with Swedish Prime Minister Goran Persson., Hu Jintao met with Pakistani President Pervez Musharraf., Hu Jintao met with Algerian President Abdelaziz Bouteflika., Hu Jintao made a speech regarding the reform of the United Nations at the Roundtable of the UN Summit 2005. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=4093
China,Hu Jintao,Canada,Vancouver,2005-09-16,16.9.2005,2005-09-17,17.9.2005,"Hu Jintao met with Premier of British Columbia Gordon Campbell., Hu Jintao met with Canadian Prime Minister Paul Martin.",,http://www.chinavitae.com//vip/index.php?mode=show&id=4102
China,Hu Jintao,North Korea,Pyongyang,2005-10-28,28.10.2005,2005-10-29,29.10.2005,"Hu Jintao held talks with Kim Jong-il, general secretary of the Workers' Party of Korea and chairman of the DPRK's National Defense Commission., Hu Jintao met with Kim Yong Nam, president of the Presidium of the Supreme People's Assembly of the Democratic People's Republic of Korea (DPRK).",,http://www.chinavitae.com//vip/index.php?mode=show&id=4271
China,Hu Jintao,Vietnam,Hanoi,2005-10-31,31.10.2005,2005-11-01,1.11.2005,"Hu Jintao held talks with general secretary of the Central Committee of the Communist Party of Vietnam (CPV) Nong Duc Manh and Vietnamese President Tran Duc Luong., Hu Jintao met with Vietnamese Prime Minister Phan Van Khai., Hu Jintao met with Nguyen Van An, chairman of the Vietnamese National Assembly.",,http://www.chinavitae.com//vip/index.php?mode=show&id=4277
China,Hu Jintao,United Kingdom,London,2005-11-08,8.11.2005,2005-11-09,9.11.2005,"Hu Jintao met with Britain's Liberal Democrats party leader Charles Kennedy., Hu Jintao met with Britain's Conservative Party leader Michael Howard., Hu Jintao met with British Queen Elizabeth II and her husband Prince Philip., Hu Jintao held talks with British Prime Minister Tony Blair.",,http://www.chinavitae.com//vip/index.php?mode=show&id=4311
China,Hu Jintao,Germany,Berlin,2005-11-10,10.11.2005,2005-11-11,11.11.2005,"Hu Jintao met with German President Horst K, Hu Jintao met with German Parliament speaker Norbert Lammert., Hu Jintao met with Berlin Mayor Klaus Wowereit., Hu Jintao met with German Chancellor Gerhard Schroeder., Hu Jintao met with Angela Merkel, German designated chancellor.",,http://www.chinavitae.com//vip/index.php?mode=show&id=4322
China,Hu Jintao,Spain,Madrid,2005-11-13,13.11.2005,2005-11-14,14.11.2005,"He Jintao met with Juan Antonio Samaranch, Honorary President of the International Olympic Committee (IOC) and Spain-side chairman of the China-Spain forum., Hu Jintao met with Francisco Javier Rojo Garcia, president of Senate of Spain. , Hu Jintao met with Manuel Marin, president of Congress of Deputies of Spain., Hu Jintao held talks with Spanish Prime Minister Jose Luis Rodriguez Zapatero., Hu Jintao met with Spanish King, Juan Carlos I and Queen Sofia. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=4329
China,Hu Jintao,South Korea,Pusan,2005-11-16,16.11.2005,2005-11-18,18.11.2005,"Hu Jintao held talks with Roh Moo-hyun, President of the Republic of Korea (ROK)., Hu Jintao attended the 13th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation (APEC) forum., Hu Jintao met with Russian President Vladimir Putin on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
, Hu Jintao met with Donald Tsang Yam-kuen, chief executive of the Hong Kong Special Administrative Region (HKSAR) on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
",,http://www.chinavitae.com//vip/index.php?mode=show&id=4364
China,Hu Jintao,United States of America,New Haven,2006-04-18,18.4.2006,2006-04-21,21.4.2006,"Hu Jintao and his wife Liu Yongqing, accompanied by Microsoft Chairman Bill Gates, visited Microsoft headquarters., Hu Jintao met with Washington Governor Christine Gregoire., Hu Jintao visited the plane manufacturing plant of Boeing., Hu Jintao delivered a speech at a dinner hosted by friendly organizations in the United States of America.
, Hu Jintao met with U.S. Vice President Dick Cheney and Senate President Pro Tempore Ted Stevens., Hu Jintao met with U.S. President George W. Bush at the White House for talks on issues ranging from Sino-U.S. relations to major international and regional issues., Hu Jintao delivered a speech at Yale University.",http://english.gov.cn/2006-04/21/content_260612.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4887
China,Hu Jintao,Saudi Arabia,Riyadh,2006-04-22,22.4.2006,2006-04-23,23.4.2006,"Hu Jintao held talks with Saudi King Abdullah bin Abdul-Aziz., Hu Jintao met with Abdul Rahman Al-Attiyah, Secretary General of the Gulf Cooperation Council (GCC)., Hu Jintao met with Saudi Crown Prince Sultan bin Abdul-Aziz Al-Saud., Hu Jintao met with Salih bin Abdullah bin Hameed, chairman of the Saudi Consultative Council.",http://news.xinhuanet.com/english/2006-04/23/content_4463955.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4894
China,Hu Jintao,Morocco,Rabat,2006-04-24,24.4.2006,2006-04-25,25.4.2006,"Hu Jintao held talks with Moroccan King S. M. Le Roi Mohammed VI., Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
",http://en.chinabroadcast.cn/811/2006/04/25/198@81396.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4907
China,Hu Jintao,Nigeria,Abuja,2006-04-26,26.4.2006,2006-04-26,26.4.2006,Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,http://news.xinhuanet.com/english/2006-04/27/content_4479268.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4908
China,Hu Jintao,Kenya,Nairobi,2006-04-28,28.4.2006,2006-04-28,28.4.2006,"Hu Jintao met with the UN Human Settlement Program (UN-HABITAT) Executive Director Mrs. Anna Kajumulo Tibaijuka and Environment Program (UNEP) acting Executive Director Shafqat Kakakhel., Hu Jintao held talks with Kenyan President Mwai Kibaki.",http://english.gov.cn/2006-04/28/content_269154.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4911
China,Hu Jintao,Kazakhstan,Almaty,2006-06-17,17.6.2006,2006-06-17,17.6.2006,Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,http://news.xinhuanet.com/english/2006-06/17/content_4710642.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5069
China,Hu Jintao,Russia,St. Petersburg,2006-07-16,16.7.2006,2006-07-17,17.7.2006,"Hu Jintao met with US President George W. Bush during a bilateral meeting on the sidelines of the G8 Summit., Hu Jintao attended the leaders' meeting of the six developing countries., Hu Jintao, Russian President Vladimir Putin and Indian Prime Minister Manmohan Singh held a trilateral summit meeting.
, Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with some world leaders after the outreach session of the G8 summit.
",http://english.gov.cn/2006-07/18/content_338481.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5149
